"site","origage","condition"
1901,125,3
1902,125,3
1903,,3
1904,125,3
1905,,3
1906,125,3
1907,45,3
1908,125,3
1909,125,3
1910,125,3
1911,61,3
1912,23,3
1913,72,2
1914,68,3
1915,31,3
1916,80,2
1917,72,2
1918,70,3
1919,56,3
1920,80,2
1921,90,2
1922,70,2
1923,48,3
1924,57,3
1925,51,2
1926,34,3
1927,100,2
1928,72,3
1929,42,3
1930,78,3
1931,78,3
1932,48,3
1933,70,3
1934,108,2
1935,108,2
1936,50,3
1937,68,3
1938,103,2
1939,75,2
1940,55,3
1941,57,3
1942,58,2
1943,39,3
1944,37,3
1945,73,3
1946,,3
1947,80,3
1948,80,3
1949,52,3
1950,39,3
1951,88,3
1952,73,3
1953,71,3
1954,50,3
1955,38,3
1957,55,3
1958,40,3
1959,53,3
1960,45,3
1961,30,3
1962,30,3
1963,59,3
1964,64,3
1965,56,3
1966,78,3
1967,45,3
1968,70,3
1969,56,3
1970,40,3
1971,33,3
1972,61,3
1973,35,3
1976,,3
1977,,2
1978,,2
1979,,2
1980,56,3
1981,80,3
1982,95,3
1983,60,3
1984,85,2
1985,77,3
1986,75,3
1987,106,1
1988,99,1
1989,60,2
1990,99,2
1991,60,3
1992,63,3
1993,63,3
1994,75,3
1995,75,3
1996,54,3
1997,111,1
1998,111,1
1999,60,3
2000,115,3
2001,98,1
2002,60,3
2003,97,3
2004,47,3
2005,39,3
2006,84,3
2007,79,3
2008,101,2
2009,86,2
2010,100,1
2011,42,3
2012,82,3
2013,46,3
2014,62,3
2015,60,3
2016,61,3
2017,101,3
2018,108,2
2019,98,2
2020,85,2
2021,72,3
2022,56,2
2023,107,2
2024,100,3
2025,102,2
2026,85,3
2027,56,3
2028,83,3
2029,109,2
2030,,2
2031,,3
2032,,2
2033,47,3
2034,,3
2035,58,3
2036,70,3
2037,,2
2038,,2
2039,,3
2040,55,3
2041,85,2
2042,,2
2043,,2
2044,,3
2045,,2
2046,,2
2047,65,2
2048,80,3
2049,119,2
2050,70,2
2051,51,3
2052,78,3
2053,85,2
2054,90,2
2055,85,2
2056,66,2
2057,44,3
2058,48,3
2059,73,3
2060,76,3
2061,74,3
2062,109,2
2063,42,3
2064,52,3
2065,125,2
2066,30,2
2067,38,3
2068,24,3
2069,89,2
2070,49,3
2071,88,2
2072,79,3
2073,100,2
2074,114,2
2075,47,3
2076,135,3
2077,47,2
2078,81,3
2079,36,3
2080,37,3
2081,,3
2082,,3
2083,107,3
2084,111,2
2085,60,2
2086,60,3
2087,60,2
2088,75,3
2089,,
2090,,
2091,,
2092,,
2093,40,3
2094,52,3
2095,,2
2096,,
2097,,
2098,,2
2099,,
2100,,
2101,,3
2102,,3
2103,,2
2104,,2
2105,,
2106,,
2107,,
2108,,
2109,,
2110,,
2111,,2
2112,,2
2113,,2
2114,,2
2115,,2
