"sppcode","name"
1.00,"Other softwoods"
4.00,"Other hardwoods"
6.00,"Juneberry"
12.00,"Balsam Fir"
15.00,"Leatherleaf"
16.00,"Bog Laurel"
22.00,"Hazelnut"
25.00,"Bush Honeysuckle"
26.00,"Leatherwood"
27.00,"Huckleberry"
32.00,"Labrador Tea"
33.00,"Sweet Fern"
34.00,"Honeysuckle"
37.00,"Virginia Creeper"
43.00,"Dwarf-Alder"
44.00,"Buckthorn"
46.00,"Smooth Sumac"
47.00,"Poison Ivy"
49.00,"Staghorn Sumac"
51.00,"Current, Gooseberry"
53.00,"Wild Rose"
54.00,"Blackberry"
55.00,"Red Raspberry"
56.00,"Thimbleberry"
57.00,"Dewberry"
58.00,"Common Elder"
59.00,"Red-berried Elder"
62.00,"Nightshade"
63.00,"Spirea"
64.00,"Snowberry"
68.00,"Eastern Red Cedar"
69.00,"Comm. Juniper, E. Red Ced"
71.00,"Tamarack"
73.00,"Bearberry"
74.00,"Blueberry sp."
75.00,"Arrowood"
77.00,"Vibernum sp."
82.00,"Squashberry"
83.00,"Highbush Cranberry"
84.00,"Wild Grape"
86.00,"Prickly Ash"
94.00,"White Spruce"
95.00,"Black Spruce"
105.00,"Jack Pine"
125.00,"Red Pine"
129.00,"White Pine"
130.00,"Scotch Pine"
241.00,"Northern White Cedar"
261.00,"Hemlock"
313.00,"Box Elder"
316.00,"Red Maple"
317.00,"Silver Maple"
318.00,"Sugar Maple"
319.00,"Mountain Maple"
352.00,"Alder"
371.00,"Yellow Birch"
373.00,"River Birch"
375.00,"Paper Birch"
377.00,"Bog Birch"
400.00,"Hickory spp."
402.00,"Bitternut Hickory"
403.00,"Yellowbud Hickory"
407.00,"Shagbark Hickory"
460.00,"Hackberry"
495.00,"Dogwood species"
496.00,"Roundleaf Dogwood"
497.00,"Red Osier Dogwood"
498.00,"Pagoda Dogwood"
499.00,"Gray-bark Dogwood"
500.00,"Hawthorn"
541.00,"White Ash"
543.00,"Black Ash"
544.00,"Green Ash"
592.00,"Winterberry Holly,Bk Alde"
593.00,"Mountain Holly"
601.00,"Butternut"
602.00,"Black walnut"
662.00,"Crabapple"
701.00,"Ironwood, Hop-Hornbeam"
702.00,"Amer. Hornbeam"
741.00,"Balsam Poplar"
742.00,"Eastern cottonwood"
743.00,"Bigtooth Aspen"
746.00,"Quaking Aspen"
762.00,"Black Cherry"
763.00,"Chokecherry"
802.00,"White Oak"
809.00,"Northern Pin Oak"
823.00,"Burr Oak"
830.00,"Pin Oak"
833.00,"Northern Red Oak"
837.00,"Black Oak"
901.00,"Black Locust"
920.00,"Willow"
935.00,"Mountain Ash"
937.00,"Current"
951.00,"Basswood"
970.00,"Elm"
972.00,"American Elm"
977.00,"Rock Elm"
978.00,"Slippery Elm"
999.00,"Noncommercial"
761.00,"Cherry sp."
